"avg_z","x","y"
42.2129455566406,216511.026708598,8549457.20608621
43.3307739257813,214065.041423723,8546909.09310008
40.8200927734375,219841.903086423,8546128.07669365
42.3127990722656,216563.359434364,8544412.49103678
41.148095703125,220691.715570871,8543614.22540101
43.5666137695313,214117.921858589,8541864.28796295
37.4304138183594,219069.901002443,8541074.96881311
39.5525146484375,220726.212945785,8540251.16376044
36.9818054199219,215792.061546283,8539359.15964607
39.8162475585938,230619.949739148,8539510.16931704
42.0003601074219,229804.575572207,8538661.27477546
44.688623046875,226518.163989689,8537787.56433034
42.0147644042969,228997.648363241,8536971.62298806
41.5292602539063,233124.188492083,8536171.74486045
40.3638244628906,230661.67097619,8535306.59778175
40.6503845214844,229846.448336929,8534457.67938591
45.1714416503906,227384.145154542,8533592.18665743
40.55166015625,220804.117943193,8532684.25184717
34.8837219238281,167271.837423196,8531237.47322202
43.3157592773438,228224.607717846,8531919.00992614
34.2997985839844,168929.87074145,8530416.6249483
44.010400390625,224939.070918842,8531044.94544108
43.0321594238281,241408.345730356,8531207.59121792
40.4457641601563,217536.127895942,8530127.68237431
44.1379028320313,232358.78462549,8530278.67244487
36.4292541503906,171421.819638579,8528764.66977142
41.3683715820313,223309.28055652,8529346.61237409
43.050927734375,238130.931283556,8529494.50884675
35.9381652832031,174726.983716126,8527963.5494059
40.9836364746094,222494.463210553,8528497.3940462
43.2571960449219,237315.727828086,8528645.82248493
34.5499816894531,167323.679186492,8527032.00881855
40.5882507324219,213445.264250881,8527561.85457772
40.2570129394531,228266.926663269,8527715.3545242
43.2259460449219,243910.503776453,8527868.5195237
36.5682312011719,170628.881651659,8526231.40891317
38.4960266113281,212630.76363599,8526712.26900802
40.1642700195313,227452.042061486,8526866.30441277
37.5660949707031,242271.922297989,8527012.16586032
37.4815307617188,168991.823823957,8525370.12888207
39.6989990234375,187111.501470369,8525586.84369951
41.0868469238281,220873.699093236,8525958.08083012
39.7960144042969,235693.727535089,8526107.65371837
38.2797790527344,161589.083331914,8524436.81184344
35.6579223632813,176414.831313976,8524619.2279761
36.3411193847656,196179.925848131,8524849.69803308
41.8275695800781,226645.748565175,8525176.47793871
43.7806335449219,241464.776783697,8525322.94815979
37.799462890625,168188.891958237,8523677.80842493
35.40615234375,183013.427408248,8523856.67487753
37.7709899902344,214304.421628659,8524207.35873011
40.3999267578125,229124.148428476,8524360.7286579
42.6012817382813,243942.486190024,8524505.91211535
36.4843383789063,170670.069683379,8522867.11517967
38.7997680664063,185493.86338589,8523044.70830887
36.3567749023438,217606.650861313,8523401.35648995
39.8612609863281,232425.59776791,8523552.98685088
39.4631591796875,159149.962131433,8521882.16228837
35.7939697265625,173974.597282958,8522066.2363738
36.9968200683594,188797.560289923,8522242.09878095
36.9005065917969,218438.774753919,8522569.20735687
40.0045715332031,233257.178562571,8522720.4623665
39.1399169921875,159160.641924325,8521041.0117513
37.0840393066406,173984.810902696,8521225.18286555
39.9368225097656,190454.152245394,8521420.1815915
44.49501953125,221740.5887708,8521762.75763452
41.8442016601563,236558.21703367,8521912.27018903
39.4636169433594,160818.49066403,8520220.74119492
35.7189270019531,175642.003712055,8520404.09571313
40.1187377929688,190463.85363708,8520579.2304418
40.7325988769531,220102.86888404,8520904.85924462
41.6658569335938,234920.186499266,8521055.36211803
39.5197692871094,159182.019414644,8519358.70962342
37.3091979980469,174005.255265652,8519543.07475647
38.6321044921875,192120.28150533,8519757.24111912
43.0764709472656,221758.030022417,8520081.21587747
41.0437255859375,236574.72731947,8520230.88595691
40.5661254882813,162486.814068857,8518559.2610133
37.3077026367188,178132.621999954,8518751.7990366
38.2133117675781,197069.833108645,8518972.60663402
42.430078125,225882.517552368,8519282.86509308
39.5020690917969,240698.36644969,8519430.33286069
40.2685791015625,165791.321557343,8517759.44912722
35.2932067871094,187199.696748045,8518018.10566503
40.1486450195313,217659.750667439,8518356.59534846
38.2051635742188,232475.904291606,8518508.70548042
42.5234313964844,247290.687382271,8518652.59981105
39.71474609375,178976.201038214,8517079.6310566
38.3270202636719,193795.82485662,8517253.30469176
39.6678405761719,220137.997512893,8517541.73644965
37.5888305664063,234953.451015648,8517692.55620733
33.9226928710938,160048.30036919,8516004.58151174
42.0945068359375,183102.887137112,8516287.70109546
