"avg_z","x","y"
42.2129455566406,-47.6145296933804,-13.1079645499167
43.3307739257813,-47.6373169928636,-13.1307518494
40.8200927734375,-47.5841466274027,-13.1383476158944
42.3127990722656,-47.6145296933804,-13.1535391488832
41.148095703125,-47.5765508609083,-13.1611349153776
43.5666137695313,-47.6373169928636,-13.1763264483664
37.4304138183594,-47.5917423938971,-13.1839222148609
39.5525146484375,-47.5765508609083,-13.1915179813553
36.9818054199219,-47.6221254598748,-13.1991137478497
39.8162475585938,-47.4854016629753,-13.1991137478497
42.0003601074219,-47.4929974294697,-13.2067095143441
44.688623046875,-47.5233804954474,-13.2143052808385
42.0147644042969,-47.5005931959642,-13.2219010473329
41.5292602539063,-47.4626143634921,-13.2294968138273
40.3638244628906,-47.4854016629753,-13.2370925803218
40.6503845214844,-47.4929974294697,-13.2446883468162
45.1714416503906,-47.515784728953,-13.2522841133106
40.55166015625,-47.5765508609083,-13.259879879805
34.8837219238281,-48.0702756830452,-13.2674756462994
43.3157592773438,-47.5081889624586,-13.2674756462994
34.2997985839844,-48.0550841500564,-13.2750714127938
44.010400390625,-47.5385720284362,-13.2750714127938
43.0321594238281,-47.3866566985479,-13.2750714127938
40.4457641601563,-47.6069339268859,-13.2826671792882
44.1379028320313,-47.4702101299865,-13.2826671792882
36.4292541503906,-48.0322968505731,-13.2902629457827
41.3683715820313,-47.553763561425,-13.2902629457827
43.050927734375,-47.4170397645256,-13.2902629457827
35.9381652832031,-48.0019137845955,-13.2978587122771
40.9836364746094,-47.5613593279195,-13.2978587122771
43.2571960449219,-47.42463553102,-13.2978587122771
34.5499816894531,-48.0702756830452,-13.3054544787715
40.5882507324219,-47.644912759358,-13.3054544787715
40.2570129394531,-47.5081889624586,-13.3054544787715
43.2259460449219,-47.3638693990647,-13.3054544787715
36.5682312011719,-48.0398926170675,-13.3130502452659
38.4960266113281,-47.6525085258524,-13.3130502452659
40.1642700195313,-47.515784728953,-13.3130502452659
